Z,theta,N,reps,cmi_pop,mean_cmi_emp,max_exact_diff,median_exact_diff,median_abs_gap,mean_gap,median_rel_gap
4,0.5,100000,500,0.35421371283591496,0.3541561803184868,2.9103830456733704e-11,7.275957614183426e-12,12107.05842208138,-12111.424093628772,0.17092474164100385
8,0.0,1000,500,0.0,0.003922250676730901,1.4210854715202004e-14,1.7763568394002505e-15,0.020403409546724482,-0.03345952446825282,0.0028297872328525075
8,0.0,10000,500,0.0,0.00039314229473439897,4.618527782440651e-14,8.43769498715119e-15,0.0019016501778876815,-0.0031699626759089626,0.0002774061324757527
8,0.0,100000,500,0.0,4.01384837357835e-05,1.2789769243681803e-13,2.1316282072803006e-14,0.0002006949297421734,-0.00031939843934904253,2.6489085539602165e-05
8,0.1,1000,500,0.011840809978004402,0.01607056198261809,2.842170943040401e-14,7.105427357601002e-15,0.291905444039223,-0.34806937696345663,0.009278762085954254
8,0.1,10000,500,0.011840809978004402,0.012124451827941002,2.5579538487363607e-13,5.684341886080802e-14,1.2215827206353111,-1.2711658008734552,0.005123891057909499
8,0.1,100000,500,0.011840809978004402,0.01186096038475459,2.2737367544323206e-12,4.547473508864641e-13,11.129673245284948,-11.180702544918287,0.004699099029012206
8,0.25,1000,500,0.07597185765043028,0.08040496934828092,1.1368683772161603e-13,2.842170943040401e-14,5.603086638152234,-5.920777692897762,0.03508274714169442
8,0.25,10000,500,0.07597185765043028,0.07649331148490322,6.821210263296962e-13,2.2737367544323206e-13,47.42546729149956,-47.510665875539,0.031010668342235363
8,0.25,100000,500,0.07597185765043028,0.07599926522202327,7.275957614183426e-12,1.8189894035458565e-12,463.17338563803423,-463.20265889988383,0.03045964183942771
8,0.5,1000,500,0.34700371711990297,0.3521212205394512,2.2737367544323206e-13,0.0,115.04248864584883,-115.53773010931653,0.1638625925552557
8,0.5,10000,500,0.34700371711990297,0.34765389886419723,2.7284841053187847e-12,9.094947017729282e-13,1101.578324718541,-1102.551843917583,0.15848569779981347
8,0.5,100000,500,0.34700371711990297,0.34706709456447377,2.1827872842550278e-11,7.275957614183426e-12,10970.894702624115,-10975.11034984962,0.1581137537909143
16,0.0,1000,500,0.0,0.00816418529620005,1.4210854715202004e-14,3.552713678800501e-15,0.11422537197280569,-0.15256103561325404,0.0073430524890888
16,0.0,10000,500,0.0,0.000779529561198595,3.907985046680551e-14,8.881784197001252e-15,0.010059449086333494,-0.01235702636670844,0.0006607530453660501
16,0.0,100000,500,0.0,7.965867619759645e-05,1.2434497875801753e-13,2.3092638912203256e-14,0.0009872660101830633,-0.001250117157599031,6.366587284555798e-05
16,0.1,1000,500,0.011775815882975174,0.020414763055964926,2.1316282072803006e-14,7.105427357601002e-15,0.5928677366801836,-0.6921364772757534,0.01488380333156161
16,0.1,10000,500,0.011775815882975174,0.012561928251824405,2.2737367544323206e-13,5.684341886080802e-14,1.406268488625173,-1.4532627538477598,0.0056931984426739045
16,0.1,100000,500,0.011775815882975174,0.011851052620684598,1.8189894035458565e-12,4.547473508864641e-13,11.116037683633067,-11.087734547074932,0.004670229890356306
